kyc_id,customer_id,aadhaar_number,kyc_status
63,731,3.803E+11,Under Review
64,755,9.74669E+11,Pending
65,874,4.57054E+11,Under Review
66,851,7.35336E+11,Under Review
67,113,5.10557E+11,Pending
68,726,8.04874E+11,Pending
69,121,2.21132E+11,Pending
70,270,1.51809E+11,Completed
71,603,9.80975E+11,Under Review
72,952,6.21986E+11,Pending
73,492,92028760095,Pending
74,762,9.03162E+11,Under Review
75,324,5.50076E+11,Pending
76,720,5.16018E+11,Pending
77,222,1.4533E+11,Completed
78,379,26137148499,Pending
79,356,3.21812E+11,Pending
80,88,6.89341E+11,Completed
81,362,4.87802E+11,Pending
82,511,9.78413E+11,Pending
83,279,4.52039E+11,Completed
84,55,6.416E+11,Completed
85,85,5.5147E+11,Completed
86,246,4.72471E+11,Completed
87,692,2.35848E+11,Pending
88,148,4.4436E+11,Pending
89,203,43642845490,Completed
90,391,4.58653E+11,Under Review
91,842,89748982370,Pending
92,878,5.51034E+11,Pending
93,334,4.97028E+11,Under Review
94,820,4.30192E+11,Pending
95,139,7.09332E+11,Under Review
96,404,9.01996E+11,Completed
97,410,1.50818E+11,Completed
98,551,9.49487E+11,Completed
99,242,5.41953E+11,Completed
100,893,60074717768,Under Review
101,849,3.1346E+11,Pending
102,654,7.88739E+11,Under Review
103,933,2.31219E+11,Completed
104,41,7.07183E+11,Completed
105,901,9.76332E+11,Completed
106,812,1.8186E+11,Completed
107,499,8.57445E+11,Pending
108,107,1.98334E+11,Pending
109,436,7.10175E+11,Pending
110,602,6.56278E+11,Pending
111,927,67752598627,Pending
112,610,3.36889E+11,Completed
113,629,5.92354E+11,Completed
114,142,7.23534E+11,Under Review
115,467,5.88854E+11,Under Review
116,194,2.3509E+11,Under Review
117,869,4.52907E+11,Pending
118,7,70681761750,Pending
119,646,9.10264E+11,Completed
120,18,2.40092E+11,Under Review
121,280,76060015029,Under Review
122,957,1.84888E+11,Completed
123,544,8.41709E+11,Completed
124,669,73893381771,Under Review
125,799,4.87878E+11,Under Review
126,3,7.87946E+11,Under Review
127,774,1.52758E+11,Completed
128,487,5.06151E+11,Under Review
129,473,6.28991E+11,Under Review
130,240,3.92438E+11,Pending
131,368,5.09363E+11,Under Review
132,908,7.87668E+11,Under Review
133,696,6.10904E+11,Completed
134,853,2.35737E+11,Under Review
135,248,8.37513E+11,Completed
136,932,6.46503E+11,Completed
137,596,7.02387E+11,Under Review
138,563,6.93771E+11,Pending
139,264,7.3854E+11,Completed
140,555,8.68349E+11,Completed
141,456,7.34572E+11,Completed
142,937,6.70629E+11,Completed
143,567,5.9911E+11,Pending
144,11,9.31273E+11,Completed
145,523,2.86862E+11,Completed
146,486,4.32131E+11,Completed
147,293,5.85753E+11,Under Review
148,316,6.83851E+11,Completed
149,650,9.36577E+11,Pending
150,915,1.02204E+11,Pending
151,633,4.95822E+11,Pending
152,338,9.07457E+11,Completed
153,448,4.48204E+11,Completed
154,698,9.82039E+11,Pending
155,659,3.70642E+11,Completed
156,228,7.82448E+11,Under Review
157,883,6.27997E+11,Completed
158,160,3.53519E+11,Pending
159,313,6.21577E+11,Completed
160,502,8.04738E+11,Pending
161,204,7.93288E+11,Pending
162,70,7.29724E+11,Completed
163,802,9.59534E+11,Completed
164,241,7.75863E+11,Pending
165,479,90873083508,Under Review
166,687,8.96169E+11,Pending
167,19,2.88865E+11,Under Review
168,46,2.88181E+11,Under Review
169,255,4.1469E+11,Pending
170,868,3.76254E+11,Under Review
171,138,4.03463E+11,Pending
172,120,6.9278E+11,Completed
173,415,2.50807E+11,Under Review
174,919,59297423023,Completed
175,770,2.23543E+11,Under Review
176,227,3791773069,Pending
177,110,6.13127E+11,Completed
178,128,4.38593E+11,Under Review
179,815,4.24585E+11,Pending
180,170,7.42241E+11,Under Review
181,364,8.32373E+11,Under Review
182,888,4.91914E+11,Completed
183,365,4.81111E+11,Completed
184,779,3.92643E+11,Pending
185,301,4.71788E+11,Pending
186,57,3.15806E+11,Completed
187,754,5.13688E+11,Under Review
188,715,7.08672E+11,Completed
189,977,97897323058,Pending
190,137,6.83357E+11,Under Review
191,751,8.38287E+11,Completed
192,611,2.02675E+11,Pending
193,247,5.24652E+11,Pending
194,134,8.69896E+11,Pending
195,517,8.67048E+11,Under Review
196,92,8.28293E+11,Completed
197,83,3.09826E+11,Pending
198,104,2.28447E+11,Pending
199,809,3.94121E+11,Completed
200,42,6.17355E+11,Under Review
201,193,5.89174E+11,Completed
202,558,8.5532E+11,Completed
203,823,4.38983E+11,Completed
204,614,5.76703E+11,Under Review
205,683,56698752849,Completed
206,826,1.16399E+11,Completed
207,286,7.57783E+11,Completed
208,75,7.45329E+11,Completed
209,103,4.6018E+11,Completed
210,887,8.39718E+11,Under Review
211,837,6.46027E+11,Under Review
212,488,8.88914E+11,Completed
213,77,6.70373E+11,Pending
214,397,4.87794E+11,Under Review
215,35,3.98303E+11,Pending
216,572,1.43E+11,Pending
217,69,9.50056E+11,Completed
218,162,1.89876E+11,Under Review
219,212,1.10305E+11,Pending
220,218,9.18108E+11,Completed
221,928,9.51894E+11,Under Review
222,302,1.75226E+11,Under Review
223,990,2.84417E+11,Pending
224,294,40199803119,Under Review
225,758,1.71363E+11,Completed
226,508,1.15137E+11,Completed
227,68,7.90601E+11,Pending
228,833,1.75024E+11,Pending
229,60,9.99081E+11,Completed
230,428,8.01958E+11,Pending
231,339,5.12108E+11,Completed
232,346,1.467E+11,Under Review
233,200,2.31739E+11,Pending
234,226,8.50709E+11,Under Review
235,835,7.45429E+11,Pending
236,282,4691975506,Under Review
237,53,9.01386E+11,Completed
238,690,9.04557E+11,Pending
239,206,5.01335E+11,Pending
240,787,4.6959E+11,Pending
241,832,9.07103E+11,Pending
242,583,1.47743E+11,Pending
243,421,5.36502E+11,Under Review
244,753,4.59486E+11,Under Review
245,570,7.24447E+11,Completed
246,985,3.85019E+11,Pending
247,205,62462626993,Under Review
248,522,1.12471E+11,Pending
249,938,2.3562E+11,Under Review
250,789,7.12447E+11,Pending
251,76,5.44952E+11,Pending
252,651,7.48109E+11,Completed
253,426,3.88065E+11,Under Review
254,164,3.55336E+11,Under Review
255,48,7.59738E+11,Pending
256,846,56741157349,Completed
257,215,5.74075E+11,Completed
258,480,3.69795E+11,Pending
259,468,79523468942,Under Review
260,699,1.8646E+11,Under Review
261,168,40879169717,Completed
262,531,8.26689E+11,Under Review
263,351,37531202910,Under Review
264,666,4.50505E+11,Pending
265,208,35858134807,Completed
266,870,3.07485E+11,Completed
267,144,1.03029E+11,Completed
268,743,1.50084E+11,Completed
269,318,95471362531,Under Review
270,501,1.55545E+11,Pending
271,296,4.58736E+11,Completed
272,337,6.38486E+11,Completed
273,23,3.15268E+11,Completed
274,462,5.15066E+11,Completed
275,416,1.25703E+11,Pending
276,800,2.43887E+11,Under Review
277,297,4.36535E+11,Under Review
278,257,7.18053E+11,Completed
279,896,94798285127,Completed
280,636,6.8653E+11,Under Review
281,289,1.07071E+11,Under Review
282,881,9.35465E+11,Under Review
283,854,6.83884E+11,Completed
284,791,6.56286E+11,Under Review
285,575,8.814E+11,Completed
286,44,7.71951E+11,Completed
287,942,7.69594E+11,Pending
288,340,6.30319E+11,Under Review
289,716,4.88483E+11,Under Review
290,158,9.77049E+11,Pending
291,713,9.84376E+11,Under Review
292,641,59457147309,Under Review
293,956,4.84017E+11,Under Review
294,281,4.24694E+11,Under Review
295,283,4.31878E+11,Pending
296,335,5.04635E+11,Under Review
297,946,9.46607E+11,Pending
298,97,78261078894,Completed
299,344,9.01068E+11,Under Review
300,819,9.82319E+11,Pending
301,192,7.2146E+11,Under Review
302,605,6.65132E+11,Completed
303,73,9.66137E+11,Under Review
304,923,7.10369E+11,Pending
305,657,3.48522E+11,Under Review
306,855,2.3785E+11,Under Review
307,496,4.31131E+11,Completed
308,124,6.31968E+11,Completed
309,209,6.61447E+11,Under Review
310,22,4.31755E+11,Completed
311,620,3.21986E+11,Completed
312,778,3.28617E+11,Pending
313,798,6.3162E+11,Under Review
314,464,7.56784E+11,Pending
315,72,6.95889E+11,Pending
316,697,1.129E+11,Pending
317,210,3.59749E+11,Pending
318,521,1.58217E+11,Pending
319,386,4.15884E+11,Completed
320,769,91897013836,Completed
321,117,1.43473E+11,Completed
322,582,6.89456E+11,Pending
323,271,8.71919E+11,Pending
324,564,9.14242E+11,Pending
325,639,1.58363E+11,Pending
326,972,2.76354E+11,Completed
327,663,7.58709E+11,Under Review
328,329,9.98684E+11,Completed
329,702,5.24362E+11,Under Review
330,652,6.90204E+11,Completed
331,61,4.32436E+11,Completed
332,250,6.981E+11,Completed
333,308,7.43886E+11,Pending
334,217,8.14241E+11,Pending
335,649,1.84234E+11,Pending
336,587,6.87571E+11,Completed
337,962,5.11554E+11,Pending
338,814,3.26103E+11,Under Review
339,275,1.80502E+11,Under Review
340,259,6.29286E+11,Completed
341,378,1.83706E+11,Completed
342,214,33307896851,Under Review
343,723,8.98636E+11,Under Review
344,102,6.6918E+11,Completed
345,733,6.93724E+11,Under Review
346,689,66604162162,Under Review
347,588,3.64843E+11,Pending
348,824,8.73412E+11,Under Review
349,449,6.00232E+11,Completed
350,701,3.69436E+11,Under Review
351,482,5.22096E+11,Completed
352,561,5.63933E+11,Pending
353,268,75167533108,Under Review
354,994,9.94964E+11,Completed
355,958,3.9644E+11,Completed
356,987,5.0345E+11,Under Review
357,790,6.86017E+11,Under Review
358,999,7.93923E+11,Pending
359,562,7.34624E+11,Completed
360,503,6.84437E+11,Completed
361,408,6.64769E+11,Pending
362,803,9.07361E+11,Under Review
363,507,9.04485E+11,Pending
364,343,2.91862E+11,Under Review
365,615,51622126508,Pending
366,744,3.72847E+11,Pending
367,478,4.75432E+11,Completed
368,509,45187752668,Under Review
369,632,6.8926E+11,Under Review
370,288,4.90513E+11,Pending
371,867,1.95557E+11,Completed
372,327,5.12349E+11,Completed
373,1,1.76024E+11,Completed
374,949,8.63303E+11,Completed
375,303,51009909783,Pending
376,423,8.23419E+11,Completed
377,497,6.73806E+11,Completed
378,526,4.8452E+11,Completed
379,245,3.02983E+11,Under Review
380,406,8.3785E+11,Under Review
381,66,2.01275E+11,Pending
382,407,8.68568E+11,Under Review
383,559,7.3931E+11,Pending
384,184,1.77807E+11,Pending
385,943,6.01887E+11,Completed
386,722,4.92036E+11,Completed
387,9,3.05785E+11,Pending
388,740,7.51487E+11,Completed
389,953,1.44963E+11,Under Review
390,607,1.67464E+11,Completed
391,460,2.41926E+11,Under Review
392,82,8.9222E+11,Completed
393,183,6.75198E+11,Under Review
394,6,1.58779E+11,Under Review
395,624,3.41414E+11,Pending
396,736,7.78724E+11,Pending
397,844,3.93081E+11,Under Review
398,541,6.69927E+11,Under Review
399,944,4.90139E+11,Under Review
400,435,6.49137E+11,Under Review
401,662,93433114409,Pending
402,372,9.03347E+11,Completed
403,256,3.25363E+11,Completed
404,708,3.31859E+11,Completed
405,29,9.7648E+11,Under Review
406,579,3.72954E+11,Under Review
407,363,94811242275,Under Review
408,452,1.54614E+11,Pending
409,325,3.30469E+11,Completed
410,569,6.18344E+11,Pending
411,565,1.16873E+11,Pending
412,431,2.83661E+11,Completed
413,634,2.35836E+11,Completed
414,806,3.73825E+11,Under Review
415,914,9.87724E+11,Under Review
416,951,7.51686E+11,Pending
417,49,1.91904E+11,Pending
418,585,1.13412E+11,Under Review
419,295,2.06826E+11,Pending
420,734,8.55361E+11,Under Review
421,857,9.96766E+11,Under Review
422,211,3.07402E+11,Pending
423,323,8.89578E+11,Under Review
424,45,2.63042E+11,Under Review
425,239,2.56138E+11,Under Review
426,505,9.34369E+11,Under Review
427,941,6.70325E+11,Completed
428,153,3.43477E+11,Pending
429,310,4.08477E+11,Completed
430,991,1.31843E+11,Pending
431,181,1.65063E+11,Completed
432,438,2.5935E+11,Completed
433,664,3.29775E+11,Pending
434,631,4.58498E+11,Pending
435,100,6.59558E+11,Pending
436,349,5.61207E+11,Pending
437,447,8.49221E+11,Completed
438,78,9.26632E+11,Under Review
439,278,1.75735E+11,Completed
440,26,6.2279E+11,Completed
441,725,6.92067E+11,Pending
442,167,4.10637E+11,Completed
443,424,5.48436E+11,Completed
444,146,7.37002E+11,Completed
445,590,1.29345E+11,Completed
446,765,6060718590,Completed
447,592,8.56868E+11,Under Review
448,679,1.33839E+11,Under Review
449,465,1.1939E+11,Completed
450,677,3.31288E+11,Pending
451,455,7.67227E+11,Pending
452,367,5.50139E+11,Under Review
453,560,3.86416E+11,Completed
454,469,7.32285E+11,Under Review
455,539,2.3937E+11,Under Review
456,524,2.3223E+11,Under Review
457,118,1.06407E+11,Completed
458,202,6.85406E+11,Completed
459,91,9.48555E+11,Completed
460,28,1.65667E+11,Completed
461,717,4.14329E+11,Completed
462,360,17895121329,Completed
463,80,9.95904E+11,Completed
464,845,58970950368,Under Review
465,221,1.0738E+11,Completed
466,414,9.17857E+11,Under Review
467,188,2.93881E+11,Completed
468,676,3.60695E+11,Under Review
469,777,90862212172,Pending
470,159,1.3139E+11,Under Review
471,618,2.20789E+11,Pending
472,2,8.33693E+11,Pending
473,547,2.25063E+11,Pending
474,648,4.03498E+11,Completed
475,14,3.23872E+11,Completed
476,520,6.76516E+11,Completed
477,106,6.65765E+11,Completed
478,292,31533113874,Completed
479,195,9.31632E+11,Pending
480,808,6.68014E+11,Under Review
481,772,2354652104,Completed
482,863,2.55512E+11,Pending
483,737,3.74468E+11,Completed
484,593,8.88127E+11,Pending
485,681,4.76987E+11,Completed
486,384,3.41743E+11,Under Review
487,519,8.85673E+11,Under Review
488,907,9.99104E+11,Pending
489,459,1.77897E+11,Under Review
490,728,4.54413E+11,Pending
491,816,9.50359E+11,Completed
492,232,4.57318E+11,Pending
493,786,8.04806E+11,Under Review
494,304,8.09788E+11,Under Review
495,434,7.37601E+11,Pending
496,714,3.90278E+11,Completed
497,706,9.6704E+11,Under Review
498,234,9.54724E+11,Pending
499,637,8.20675E+11,Under Review
500,74,6.22001E+11,Pending
